1  1.000000 1.000000 1.000000 1.000000
2  0.800000 0.190000 0.190000 1.000000
3  0.800000 0.190000 0.190000 1.000000 
4  0.369000 0.369000 0.400000 1.000000
5  1.000000 1.000000 1.000000 1.000000
6  0.800000 0.190000 0.190000 1.000000
7  0.369000 0.369000 0.400000 1.000000
8  1.000000 1.000000 1.000000 1.000000
9  0.800000 0.190000 0.190000 1.000000
10  1.000000 1.000000 1.000000 1.000000
11  0.800000 0.190000 0.190000 1.000000
12  1.000000 1.000000 1.000000 1.000000
13  0.800000 0.190000 0.190000 1.000000
14  1.000000 1.000000 1.000000 1.000000
15  0.800000 0.190000 0.190000 1.000000
16  0.800000 0.190000 0.190000 1.000000
17  0.369000 0.369000 0.400000 1.000000
18  1.000000 1.000000 1.000000 1.000000
19  0.800000 0.190000 0.190000 1.000000
20  0.369000 0.369000 0.400000 1.000000
21  1.000000 1.000000 1.000000 1.000000
22  0.800000 0.190000 0.190000 1.000000
23  1.000000 1.000000 1.000000 1.000000
24  0.800000 0.190000 0.190000 1.000000
25  1.000000 1.000000 1.000000 1.000000
26  0.800000 0.190000 0.190000 1.000000
27  1.000000 1.000000 1.000000 1.000000 
28  0.800000 0.190000 0.190000 1.000000
29  1.000000 1.000000 1.000000 1.000000
30  0.800000 0.190000 0.190000 1.000000
31  1.000000 1.000000 1.000000 1.000000
32  0.800000 0.190000 0.190000 1.000000
33  1.000000 1.000000 1.000000 1.000000
34  0.800000 0.190000 0.190000 1.000000
35  1.000000 1.000000 1.000000 1.000000
36  0.800000 0.190000 0.190000 1.000000
37  1.000000 1.000000 1.000000 1.000000
38  0.800000 0.190000 0.190000 1.000000
39  1.000000 1.000000 1.000000 1.000000
40  0.800000 0.190000 0.190000 1.000000
41  1.000000 1.000000 1.000000 1.000000
42  1.000000 1.000000 1.000000 1.000000
43  1.000000 1.000000 1.000000 1.000000
44  0.800000 0.190000 0.190000 1.000000
45  0.800000 0.190000 0.190000 1.000000
46  0.800000 0.190000 0.190000 1.000000
47  0.800000 0.190000 0.190000 1.000000
48  0.800000 0.190000 0.190000 1.000000
49  0.191000 0.800000 0.300000 1.000000
50  0.191000 0.800000 0.300000 1.000000
51  0.800000 0.190000 0.190000 1.000000
52  0.191000 0.800000 0.300000 1.000000
53  0.369000 0.369000 0.400000 1.000000
54  0.191000 0.800000 0.300000 1.000000
55  0.800000 0.190000 0.190000 1.000000
56  0.800000 0.190000 0.190000 1.000000
57  0.191000 0.800000 0.300000 1.000000
58  0.369000 0.369000 0.400000 1.000000
59  0.878000 0.792000 0.184000 1.000000
60  0.800000 0.190000 0.190000 1.000000
61  0.878000 0.792000 0.184000 1.000000
62  0.878000 0.792000 0.184000 1.000000
63  0.191000 0.800000 0.300000 1.000000
64  0.369000 0.369000 0.400000 1.000000
65  0.361000 0.627000 0.616000 1.000000
66  0.800000 0.190000 0.190000 1.000000
67  0.714000 0.428400 0.181440 1.000000
68  0.369000 0.369000 0.400000 1.000000
69  0.361000 0.627000 0.616000 1.000000
70  0.800000 0.190000 0.190000 1.000000
71  0.714000 0.428400 0.181440 1.000000
72  0.369000 0.369000 0.400000 1.000000
73  0.361000 0.627000 0.616000 1.000000
74  0.800000 0.190000 0.190000 1.000000
75  0.714000 0.428400 0.181440 1.000000
76  0.369000 0.369000 0.400000 1.000000
77  0.361000 0.627000 0.616000 1.000000
78  0.800000 0.190000 0.190000 1.000000
79  0.714000 0.428400 0.181440 1.000000
80  0.369000 0.369000 0.400000 1.000000
81  0.361000 0.627000 0.616000 1.000000
82  0.800000 0.190000 0.190000 1.000000
83  0.714000 0.428400 0.181440 1.000000
84  0.369000 0.369000 0.400000 1.000000
85  0.714000 0.428400 0.181440 1.000000
86  0.191000 0.800000 0.300000 1.000000
87  0.191000 0.800000 0.300000 1.000000
88  0.361000 0.627000 0.616000 1.000000
89  0.878000 0.792000 0.184000 1.000000
90  0.361000 0.62 0.616000 1.000000
91  0.191000 0.800000 0.300000 1.000000
92  0.550000 0.550000 0.550000 1.000000
93  0.800000 0.190000 0.190000 1.000000
94  0.800000 0.190000 0.190000 1.000000
95  0.800000 0.100 0.100 1.000000
96  0.200000 0.400000 0.808000 1.000000
97  0.191000 0.800000 0.300000 1.000000
98  0.191000 0.800000 0.300000 1.000000
99  0.191000 0.800000 0.300000 1.000000
100  0.191000 0.800000 0.300000 1.000000
101  0.191000 0.800000 0.300000 1.000000
102  0.191000 0.800000 0.300000 1.000000
103  0.191000 0.800000 0.300000 1.000000
104  0.191000 0.800000 0.300000 1.000000
105  0.191000 0.800000 0.300000 1.000000
106  1.000000 0.000000 1.000000 1.000000
107  0.191000 0.800000 0.300000 1.000000
108  0.878000 0.792000 0.184000 1.000000
109  1.000000 0.000000 1.000000 1.000000
110  0.191000 0.800000 0.300000 1.000000
111  0.878000 0.792000 0.184000 1.000000
112  0.878000 0.792000 0.184000 1.000000
113  0.878000 0.792000 0.184000 1.000000
114  0.369000 0.369000 0.400000 1.000000
115  0.369000 0.369000 0.400000 1.000000
116  0.369000 0.369000 0.400000 1.000000
117  0.369000 0.369000 0.400000 1.000000
118  0.200000 0.400000 0.808000 1.000000
119  0.191000 0.800000 0.300000 1.000000
120  0.190 0.800000 0.300000 1.000000
121  0.878000 0.792000 0.184000 1.000000
122  0.878000 0.792000 0.184000 1.000000
123  0.878000 0.792000 0.184000 1.000000
124  0.878000 0.792000 0.184000 1.000000
125  1.000000 0.752941 0.627451 0.010000
126  1.000000 0.752941 0.627451 0.010000
127  1.000000 0.752941 0.627451 0.010000
128  1.000000 0.000000 1.000000 1.000000
129  1.000000 0.000000 1.000000 1.000000
130  0.200000 0.400000 0.808000 1.000000
131  0.200000 0.400000 0.808000 1.000000
132  0.439000 0.596000 0.839000 1.000000
133  0.439000 0.596000 0.839000 1.000000
134  0.800000 0.190000 0.190000 1.000000 
135  0.800000 0.190000 0.190000 1.000000
136  0.191000 0.800000 0.300000 1.000000
137  0.191000 0.800000 0.300000 1.000000
138  0.800000 0.190000 0.190000 1.000000
